year,season,evaluation,method,vegetation_formation,station_id,species,density_ind_ha
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 01,27.318
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 02,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 03,32.732
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 04,67.125
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 05,125.451
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 06,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 07,190.756
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 08,52.149
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 01,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 02,51.231
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 03,60.208
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 04,93.704
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 05,81.45
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 06,56.706
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 07,73.886
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 08,206.274
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 01,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 02,33.316
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 03,59.66
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 04,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 05,52.761
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 06,39.987
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 07,51.265
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 08,170.882
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 01,26.287
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 02,67.358
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 03,85.583
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 04,280.09
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 05,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 06,91.662
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 07,42.722
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 08,116.069
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 01,161.219
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 02,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 03,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 04,30.925
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 05,97.804
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 06,61.837
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 07,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 08,159.966
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 01,53.926
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 02,16.637
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 03,121.181
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 04,13.347
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 05,9.933
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 06,136.3
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 07,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 08,75.485
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 01,17.017
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 02,6.637
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 03,71.145
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 04,64.593
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 05,37.122
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 06,32.59
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 07,45.055
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 08,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 01,81.067
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 02,23.464
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 03,74.53
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 04,79.97
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 05,62.944
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 06,28.74
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 07,57.209
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 08,146.55
