survey_year,season,zone,vegetation_formation,station_id,sampling_unit,species,relative_cover
2018,Wet season,Zone A,Shrubland,ST_001,ST_001_2018,Species A,4.054
2018,Wet season,Zone A,Shrubland,ST_001,ST_001_2018,Species D,8.113
2018,Wet season,Zone A,Shrubland,ST_001,ST_001_2018,Species C,1.342
2018,Wet season,Zone A,Shrubland,ST_001,ST_001_2018,Species M,1.003
2018,Wet season,Zone A,Shrubland,ST_001,ST_001_2018,Species I,4.72
2018,Wet season,Zone A,Shrubland,ST_001,ST_001_2018,Species S,3.894
2018,Wet season,Zone A,Shrubland,ST_001,ST_001_2018,Species F,4.133
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species G,5.139
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species K,9.307
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species A,0.496
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species C,1.752
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species D,2.288
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species H,2.021
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species E,2.072
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species U,2.998
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species B,3.543
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species L,1.111
2018,Wet season,Zone A,Shrubland,ST_002,ST_002_2018,Species X,2.988
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species G,0.755
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species W,0.885
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species R,6.811
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species A,3.345
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species L,1.733
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species J,1.711
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species D,5.186
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species H,1.135
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species B,4.333
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species F,0.8
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species V,12.803
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species S,1.8
2018,Wet season,Zone A,Shrubland,ST_003,ST_003_2018,Species T,1.231
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species C,3.94
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species F,7.05
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species A,3.711
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species H,2.963
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species E,2.244
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species R,7.827
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species L,1.547
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species O,2.369
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species B,0.762
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species G,4.305
2019,Wet season,Zone A,Shrubland,ST_001,ST_001_2019,Species S,5.34
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species C,9.566
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species L,0.223
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species E,5.328
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species I,1.157
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species D,2.159
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species M,1.659
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species A,3.753
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species F,0.976
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species X,0.146
2019,Wet season,Zone A,Shrubland,ST_002,ST_002_2019,Species U,2.062
2019,Wet season,Zone A,Shrubland,ST_003,ST_003_2019,Species G,1.403
2019,Wet season,Zone A,Shrubland,ST_003,ST_003_2019,Species B,3.164
2019,Wet season,Zone A,Shrubland,ST_003,ST_003_2019,Species U,7.937
2019,Wet season,Zone A,Shrubland,ST_003,ST_003_2019,Species J,6.507
