zone,vegetation_formation,season,sampling_units,species_columns,observed_richness,chao2,r_squared
Zone A,Cactus scrub,Dry season,12,23,23,23.916666666666668,0.7719016034376498
Zone A,Cactus scrub,Wet season,12,24,24,25.03125,0.8290002705390387
Zone A,Cactus scrub,Winter,12,23,23,23.229166666666668,0.7174006435166884
Zone A,Desert scrub,Dry season,12,24,24,24.458333333333332,0.7857969730122387
Zone A,Desert scrub,Wet season,12,23,23,23.114583333333332,0.751860948722201
Zone A,Desert scrub,Winter,12,21,21,21.229166666666668,0.7279850258822135
Zone A,Riparian vegetation,Dry season,12,24,24,24.61111111111111,0.7731880046063198
Zone A,Riparian vegetation,Wet season,12,23,23,23.366666666666667,0.8260240418738907
Zone A,Riparian vegetation,Winter,12,24,24,25.833333333333332,0.8427776526441058
Zone A,Shrubland,Dry season,12,24,24,24,0.7393974530600373
Zone A,Shrubland,Wet season,12,24,24,24.916666666666668,0.7678763076406401
Zone A,Shrubland,Winter,12,24,24,24.916666666666668,0.7664795516037518
Zone B,Cactus scrub,Dry season,12,24,24,24.825,0.83719508868732
Zone B,Cactus scrub,Wet season,12,24,24,24.61111111111111,0.7930886242003355
Zone B,Cactus scrub,Winter,12,24,24,25.833333333333332,0.7327712666895667
Zone B,Desert scrub,Dry season,12,23,23,23.15277777777778,0.7298838998896581
Zone B,Desert scrub,Wet season,12,24,24,26.864583333333332,0.871569226903589
Zone B,Desert scrub,Winter,12,24,24,24.15277777777778,0.7213745365422434
Zone B,Riparian vegetation,Dry season,12,23,23,23.458333333333332,0.8107612443773639
Zone B,Riparian vegetation,Wet season,12,24,24,24.091666666666665,0.7844886573949841
Zone B,Riparian vegetation,Winter,12,24,24,25.833333333333332,0.8398074492847623
Zone B,Shrubland,Dry season,12,24,24,24.458333333333332,0.815578886917889
Zone B,Shrubland,Wet season,12,22,22,22,0.7410079901072031
Zone B,Shrubland,Winter,12,23,23,23.07638888888889,0.7992910782824698
Zone C,Cactus scrub,Dry season,12,24,24,29.729166666666664,0.838341179571673
Zone C,Cactus scrub,Wet season,12,24,24,24.07638888888889,0.7938283080288528
Zone C,Cactus scrub,Winter,12,24,24,25.03125,0.8264062110681571
Zone C,Desert scrub,Dry season,12,24,24,24,0.7059095378018254
Zone C,Desert scrub,Wet season,12,22,22,22.916666666666668,0.7551052597596252
Zone C,Desert scrub,Winter,12,23,23,24.03125,0.8242877802708023
Zone C,Riparian vegetation,Dry season,12,24,24,24.15277777777778,0.7260740689954492
Zone C,Riparian vegetation,Wet season,12,22,22,22.458333333333332,0.7083795989971678
Zone C,Riparian vegetation,Winter,12,24,24,26.444444444444443,0.8431298257796532
Zone C,Shrubland,Dry season,12,24,24,24.458333333333332,0.7945742586156782
Zone C,Shrubland,Wet season,12,24,24,24.6875,0.8556543184928487
Zone C,Shrubland,Winter,12,24,24,24.114583333333332,0.7742712460791289
